supplier,origin,horizon,unit,all_observed_qty,eligible_qty,eligible_series
IEK,2026-04-01,28,упак,2074.0,2061.0,68
IEK,2026-04-01,28,шт,108391.0,108217.0,1796
IEK,2026-05-01,7,м,5057.0,5057.0,108
IEK,2026-05-01,7,упак,388.0,388.0,68
IEK,2026-05-01,7,шт,22151.0,22132.0,1814
IEK,2026-05-01,28,м,28716.0,28716.0,108
IEK,2026-05-01,28,упак,1902.0,1902.0,68
IEK,2026-05-01,28,шт,101129.0,101036.0,1814
IEK,2026-06-01,7,м,13948.0,13946.0,108
IEK,2026-06-01,7,упак,625.0,625.0,70
IEK,2026-06-01,7,шт,30684.0,30646.0,1833
IEK,2026-06-01,28,м,44626.0,44622.0,108
IEK,2026-06-01,28,упак,3371.0,3371.0,70
IEK,2026-06-01,28,шт,120451.0,119927.0,1833
IEK,2026-07-01,7,м,6631.0,6631.0,108
IEK,2026-07-01,7,упак,781.0,781.0,70
IEK,2026-07-01,7,шт,25971.0,25917.0,1850
IEK,2026-07-01,28,м,49419.0,49419.0,108
IEK,2026-07-01,28,упак,3390.0,3389.0,70
IEK,2026-07-01,28,шт,135370.0,134899.0,1850
IEK,2026-08-01,7,м,10662.0,10662.0,109
IEK,2026-08-01,7,упак,916.0,916.0,71
IEK,2026-08-01,7,шт,32976.0,32862.0,1866
IEK,2026-08-01,28,м,45662.0,45662.0,109
IEK,2026-08-01,28,упак,3667.0,3667.0,71
IEK,2026-08-01,28,шт,140854.0,140383.0,1866
Systeme electric,2025-07-01,7,шт,67687.0,67644.0,472
Systeme electric,2025-07-01,28,шт,428160.0,426185.0,472
Systeme electric,2025-08-01,7,шт,255950.0,255797.0,485
Systeme electric,2025-08-01,28,шт,609401.0,609102.0,485
Systeme electric,2025-09-01,7,шт,27932.0,27911.0,500
Systeme electric,2025-09-01,28,шт,234622.0,234315.0,500
Systeme electric,2025-10-01,7,шт,38274.0,38256.0,514
Systeme electric,2025-10-01,28,шт,153807.0,153533.0,514
Systeme electric,2025-11-01,7,шт,39451.0,39378.0,530
Systeme electric,2025-11-01,28,шт,375806.0,375634.0,530
Systeme electric,2025-12-01,7,шт,42545.0,42545.0,536
Systeme electric,2025-12-01,28,шт,240928.0,240911.0,536
Systeme electric,2026-01-01,7,шт,4779.0,4779.0,539
Systeme electric,2026-01-01,28,шт,136457.0,136455.0,539
Systeme electric,2026-02-01,7,шт,33194.0,33194.0,543
Systeme electric,2026-02-01,28,шт,212381.0,212367.0,543
Systeme electric,2026-03-01,7,шт,126840.0,126840.0,550
Systeme electric,2026-03-01,28,шт,350560.0,350494.0,550
Systeme electric,2026-04-01,7,шт,28769.0,28769.0,552
Systeme electric,2026-04-01,28,шт,246480.0,246166.0,552
Systeme electric,2026-05-01,7,шт,43746.0,42953.0,552
Systeme electric,2026-05-01,28,шт,273982.0,270664.0,552
Systeme electric,2026-06-01,7,шт,63535.0,62893.0,552
Systeme electric,2026-06-01,28,шт,337017.0,330496.0,552
Systeme electric,2026-07-01,7,шт,73403.0,73175.0,557
Systeme electric,2026-07-01,28,шт,399360.0,395291.0,557
Systeme electric,2026-08-01,7,шт,121157.0,121157.0,561
Systeme electric,2026-08-01,28,шт,311980.0,311980.0,561
